task,before,after
ArchiSpatial,saccade,saccades
ArchiSocial,triangle_intention,triangle_mental
ArchiSocial,speech,speech_sound
ArchiSocial,non_speech,non_speech_sound
RSVLanguage,consonant_strings,consonant_string
MTTWE,we_all_reference,we_average_reference
MTTSN,sn_all_reference,sn_average_reference
PainMovie,pain,movie_pain
PainMovie,mental,movie_mental
Color,y,response
MVEB,response,letter_occurrence_response
MVIS,response,dot_displacement_response
MCSE,hi_salience_left,high_salience_left
MCSE,hi_salience_right,high_salience_right
Attention,spatialcue,spatial_cue
Attention,doublecue,double_cue
Catell / oddball,easy_oddball,easy
Catell / oddball,hard_oddball,hard