condition,we_westside_event,we_eastside_event,we_before_event,we_after_event,we_space_event,we_time_event,we_average_event,we_all_space-time_cue,we_all_time-space_cue,we_space-time_event,we_time-space_event,westside-eastside_event,eastside-westside_event,we_before-after_event,we_after-before_event
we_average_reference,,,,,,,,,,,,,,,
we_all_space_cue,,,,,,,,1,-1,,,,,,
we_all_time_cue,,,,,,,,-1,1,,,,,,
we_westside_close_event,1,,,,1,,1,,,1,-1,1,-1,,
we_westside_far_event,1,,,,1,,1,,,1,-1,1,-1,,
we_eastside_close_event,,1,,,1,,1,,,1,-1,-1,1,,
we_eastside_far_event,,1,,,1,,1,,,1,-1,-1,1,,
we_before_close_event,,,1,,,1,1,,,-1,1,,,1,-1
we_before_far_event,,,1,,,1,1,,,-1,1,,,1,-1
we_after_close_event,,,,1,,1,1,,,-1,1,,,-1,1
we_after_far_event,,,,1,,1,1,,,-1,1,,,-1,1
we_all_event_response,,,,,,,,,,,,,,,