condition,audio,audio-control,visual,visual-control,tactile,tactile-control,audio-visual,visual-audio,tactile-visual,visual-tactile,tactile-audio,audio-tactile,face-other,body-other,body-non_face,animate-inanimate,monkey_speech-other,speech-other,speech+voice-other,,,,,
audio_monkey,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,6,-1,-1,,,,,
audio_animal,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,-1,-1,-1,,,,,
audio_nature,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,-1,-1,-1,,,,,
audio_silence,,-6,,-10,,,,,,,,,,,,,-1,-1,-1,,,,,
audio_speech,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,-1,6,"2,5",,,,,
audio_tools,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,-1,-1,-1,,,,,
audio_voice,1,1,,,,,"0,17","-0,17",,,"-0,17","0,17",,,,,-1,-1,"2,5",,,,,
tactile_bottom,,,,,1,1,,,"0,33","-0,33","0,33","-0,33",,,,,,,,,,,,
tactile_middle,,,,,1,1,,,"0,33","-0,33","0,33","-0,33",,,,,,,,,,,,
tactile_top,,,,,1,1,,,"0,33","-0,33","0,33","-0,33",,,,,,,,,,,,
tactile_novalve,,,,,,-3,,,,,,,,,,,,,,,,,,
image_animals,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,1,,,,,,,,
image_birds,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,1,,,,,,,,
image_fruits,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,"-1,5",,,,,,,,
image_human_body,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,4,"1,5",1,,,,,,,,
image_human_face,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,4,-1,"1,5",1,,,,,,,,
image_human_object,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,"-1,5",,,,,,,,
image_monkey_body,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,4,"1,5",1,,,,,,,,
image_monkey_face,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,4,-1,"1,5",1,,,,,,,,
image_monkey_object,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,"-1,5",,,,,,,,
image_sculpture,,,1,1,,,"-0,1","0,1","-0,1","0,1",,,-1,-1,-1,"-1,5",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1